#	TASF46	20.5	T IR	T Sens	Mag	Hz	Alt	Azi	Lat	Lon	SL	BAT
1	2024:10:5	4:23:33	2.59	2.95	21.11	0.57	10	0.00	40.831171	-2.800388	1110	3.96
2	2024:10:5	4:23:37	2.59	2.95	21.1	0.58	10	11.00	40.831171	-2.800388	1110	3.96
3	2024:10:5	4:23:40	2.39	2.99	21.05	0.6	10	22.00	40.831171	-2.800388	1110	3.96
4	2024:10:5	4:23:43	2.77	2.97	20.99	0.64	10	33.00	40.831171	-2.800388	1110	3.96
5	2024:10:5	4:23:46	2.31	3.01	20.87	0.71	10	45.00	40.831171	-2.800388	1110	3.95
6	2024:10:5	4:23:49	2.31	3.09	20.78	0.77	10	56.00	40.831171	-2.800388	1110	3.96
7	2024:10:5	4:23:52	1.79	3.09	20.85	0.72	10	67.00	40.831171	-2.800388	1110	3.96
8	2024:10:5	4:23:55	2.05	3.13	20.96	0.65	10	78.00	40.831171	-2.800388	1110	3.95
9	2024:10:5	4:23:58	2.43	3.15	21.15	0.55	10	90.00	40.831171	-2.800388	1110	3.95
10	2024:10:5	4:24:2	2.43	3.19	21.24	0.5	10	101.00	40.831171	-2.800388	1110	3.95
11	2024:10:5	4:24:5	2.51	3.21	21.09	0.58	10	112.00	40.831171	-2.800388	1110	3.95
12	2024:10:5	4:24:9	1.59	3.25	21.0	0.63	10	123.00	40.831171	-2.800388	1110	3.95
13	2024:10:5	4:24:12	1.63	3.31	21.19	0.53	10	135.00	40.831171	-2.800388	1110	3.95
14	2024:10:5	4:24:17	2.65	3.33	21.51	0.4	10	146.00	40.831171	-2.800388	1110	3.95
15	2024:10:5	4:24:23	3.49	3.43	21.74	0.32	10	157.00	40.831171	-2.800388	1110	3.95
16	2024:10:5	4:24:29	3.71	3.45	21.52	0.39	10	168.00	40.831171	-2.800388	1110	3.95
17	2024:10:5	4:24:32	2.55	3.43	20.82	0.74	10	180.00	40.831171	-2.800388	1110	3.94
18	2024:10:5	4:24:34	0.59	3.45	20.33	1.17	10	191.00	40.831171	-2.800388	1110	3.94
19	2024:10:5	4:24:37	-0.03	3.53	20.11	1.44	10	202.00	40.831171	-2.800388	1110	3.94
20	2024:10:5	4:24:39	0.29	3.55	19.86	1.81	10	213.00	40.831171	-2.800388	1110	3.94
21	2024:10:5	4:24:41	0.43	3.53	19.74	2.01	10	225.00	40.831171	-2.800388	1110	3.94
22	2024:10:5	4:24:43	1.01	3.51	19.7	2.09	10	236.00	40.831171	-2.800388	1110	3.94
23	2024:10:5	4:24:45	1.01	3.55	19.71	2.07	10	247.00	40.831171	-2.800388	1110	3.94
